title,price,city,link,bedrooms,bathrooms,sqft,address,price_per_sqft
Remarkable cottage in the desirable Resort,143500,Wasaga Beach,https://toronto.craigslist.org/tor/reb/d/wasaga-beach-remarkable-cottage-in-the/7864862334.html,2.0,1.0,700.0,"7 Nipagon Circ, Wasaga Beach, ON L9Z2M2",205.0
Home Equity at Risk?,1000000,Mississauga,https://toronto.craigslist.org/mss/reo/d/mississauga-home-equity-at-risk/7862202426.html,3.0,5.0,1500.0,,666.67
Home sold GUARANTEED or I Pay You the Difference,1300000,Mississauga,https://toronto.craigslist.org/mss/reo/d/mississauga-home-sold-guaranteed-or-pay/7862207240.html,4.0,5.0,2000.0,,650.0
Home sold Guaranteed or I will buy it.,1300000,Mississauga,https://toronto.craigslist.org/mss/reo/d/mississauga-home-sold-guaranteed-or/7862209891.html,4.0,5.0,2000.0,,650.0
Semi Detached home for Sale,899000,Mississauga,https://toronto.craigslist.org/mss/reo/d/mississauga-semi-detached-home-for-sale/7862227299.html,3.0,5.0,1400.0,,642.14
Positive cash flowing duplex for sale.,349900,Toronto,https://toronto.craigslist.org/tor/reo/d/north-bay-central-positive-cash-flowing/7862223934.html,3.0,2.0,1721.0,"907 fraser street, North Bay Central, ON P1B3X7",203.31
Townhouse in Vaughan for sale,900000,Vaughan,https://toronto.craigslist.org/mss/reo/d/maple-townhouse-in-vaughan-for-sale/7862229224.html,3.0,5.0,1400.0,,642.86
Semi detached home for Sale,1100000,Vaughan,https://toronto.craigslist.org/mss/reo/d/maple-semi-detached-home-for-sale/7862233420.html,3.0,5.0,1500.0,,733.33
"4 Bedroom, double garage home for sale",1300000,Vaughan,https://toronto.craigslist.org/mss/reo/d/maple-bedroom-double-garage-home-for/7862235764.html,4.0,5.0,2100.0,,619.05
Positive cash flow Triplex for sale in North Bay,489900,North Bay,https://toronto.craigslist.org/mss/reo/d/north-bay-central-positive-cash-flow/7862238127.html,7.0,4.0,2100.0,,233.29
"4 Bedrooms over 3000 sq. ft. home in Meadowvale, Mississauga",1699900,Mississauga,https://toronto.craigslist.org/mss/reo/d/mississauga-bedrooms-over-3000-sq-ft/7862240608.html,4.0,4.0,3000.0,,566.63
Fantastic bungalow for sale in Don Mills,1628000,North York,https://toronto.craigslist.org/tor/reb/d/north-york-fantastic-bungalow-for-sale/7864671413.html,3.0,2.0,1365.0,"24 Deepwood Crescent, Toronto, ON M3C1N8",1192.67
Bright & spacious downtown Toronto condo for sale,599900,Toronto,https://toronto.craigslist.org/tor/reb/d/downtown-toronto-bright-spacious/7864671250.html,1.0,1.0,695.0,"5 Bruyeres Mews #317, Toronto, ON M5V0A7",863.17
Gorgeous Luxury Donalda Parkwoods Home on Ravine Lot,3298000,North York,https://toronto.craigslist.org/tor/reb/d/north-york-gorgeous-luxury-donalda/7864671168.html,5.0,5.0,4840.0,"8 Silverdale Crescent, Toronto, ON M3A3H1",681.4
Wonderful Don Mills semi overlooking Donalda Golf course & ravine,1398000,North York,https://toronto.craigslist.org/tor/reb/d/north-york-wonderful-don-mills-semi/7864670867.html,4.0,3.0,1700.0,"136 Three Valleys Drive, Don Mills, ON M3A3B9",822.35
